city,name,region,starRating,userRating,numReviews,userRatingInfo,hotelFeatures,originalRate_perNight_totalFare
Jakarta,"The Langham, Jakarta","Senayan, Jakarta",5.0,8.8,340.0,Mengesankan,"Restoran show cooking, Aktivitas outdoor, Klub kesehatan, Pusat kebugaran, Fasilitas bisnis, Sauna, Pusat kebugaran, Bar",10674862.0
Jakarta,"Hotel Mulia Senayan, Jakarta","Senayan, Jakarta",5.0,8.7,1540.0,Mengesankan,"Bar, Tennis, Fasilitas bisnis, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran",7421334.0
Jakarta,Grand Hyatt Jakarta,"Thamrin, Jakarta",5.0,8.7,2059.0,Mengesankan,"Jacuzzi, Tennis, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Sauna, Pusat kebugaran, Bar",9715090.0
Jakarta,ASTON Priority Simatupang & Conference Center,"Kebagusan, Jakarta",4.0,8.6,7246.0,Mengesankan,"Layanan pijat, Antar-jemput bandara, Spa, Bar",1900506.0
Jakarta,Hotel Menara Peninsula,"Slipi, Jakarta",4.0,8.4,9253.0,Mengesankan,"Kolam air panas outdoor, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",1366666.0
Jakarta,Yuan Garden Pasar Baru,"Pasar Baru, Jakarta",4.0,8.5,3213.0,Mengesankan,"Aerobik, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1605334.0
Jakarta,DoubleTree by Hilton Jakarta - Diponegoro,"Cikini, Jakarta",5.0,8.8,3244.0,Mengesankan,"Area main anak, Klub anak, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",4272162.0
Jakarta,Hotel Ciputra Jakarta managed by Swiss-Belhotel International,"Tanjung Duren, Jakarta",4.0,8.5,9261.0,Mengesankan,"Bayar saat Check-in, Layanan pijat, Bar di kolam renang, Pusat kebugaran, Bar",1989334.0
Jakarta,Century Park Hotel,"Senayan, Jakarta",4.0,8.6,6830.0,Mengesankan,"Penitipan anak, Sewa mobil, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",3246666.0
Jakarta,Le Meridien Jakarta,"Sudirman, Jakarta",5.0,8.7,377.0,Mengesankan,"Klub malam, Penitipan anak, Antar-jemput bandara, Sauna, Spa",3509000.0
Jakarta,Lumire Hotel & Convention Center,"Senen, Jakarta",4.0,8.5,8924.0,Mengesankan,"Layanan pijat, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Sauna, Check-out ekspress, Pusat kebugaran, Bar",1433334.0
